date,state,district,pincode,bio_age_5_17,bio_age_17_
25-11-2025,Telangana,Mancherial,504220,0,1
25-11-2025,Telangana,Rangareddy,500068,1,0
25-11-2025,Telangana,Warangal Rural,506319,1,0
18-12-2025,Telangana,Nagarkurnool,509326,0,1
19-11-2025,Telangana,Khammam,507116,1,0
19-11-2025,Telangana,Mahabubabad,506368,1,1
19-11-2025,Telangana,Medak,502311,2,0
19-11-2025,Telangana,Warangal Urban,506151,1,0
03-12-2025,Telangana,Hanumakonda,506310,0,1
03-12-2025,Telangana,Jayashankar Bhupalpally,506356,0,1
03-12-2025,Telangana,Kamareddy,503310,0,1
03-12-2025,Telangana,Narayanpet,509336,0,2
03-12-2025,Telangana,Warangal Rural,506134,0,1
03-12-2025,Telangana,Warangal Rural,506349,0,1
03-12-2025,Telangana,Warangal Urban,506166,0,1
01-12-2025,Telangana,Medak,502311,2,0
01-12-2025,Telangana,Medchal−malkajgiri,501301,1,0
01-12-2025,Telangana,Warangal Urban,505101,1,0
02-12-2025,Telangana,Medchal−malkajgiri,500043,4,1
02-12-2025,Telangana,Medchal−malkajgiri,500067,3,0
02-12-2025,Telangana,Narayanpet,509204,1,0
02-12-2025,Telangana,Sangareddy,502228,1,0
02-12-2025,Telangana,Sangareddy,502305,2,0
02-12-2025,Telangana,Vikarabad,501203,1,0
02-12-2025,Telangana,Warangal,506145,3,0
02-12-2025,Telangana,Warangal Rural,506006,0,1
02-12-2025,Telangana,Warangal Rural,506342,2,0
02-12-2025,Telangana,Warangal Rural,506369,2,0
02-12-2025,Telangana,Warangal Urban,506166,1,0
02-12-2025,Telangana,Hanumakonda,505476,1,0
02-12-2025,Telangana,Hanumakonda,506151,1,0
02-12-2025,Telangana,Hyderabad,500041,1,0
02-12-2025,Telangana,Hyderabad,500087,3,0
02-12-2025,Telangana,Jagitial,504106,1,0
02-12-2025,Telangana,K.v. Rangareddy,501512,1,0
05-12-2025,Telangana,Jangaon,506252,0,1
05-12-2025,Telangana,Jangoan,506301,0,1
05-12-2025,Telangana,Kamareddy,503108,1,0
05-12-2025,Telangana,Medak,502205,0,1
05-12-2025,Telangana,Medchal-malkajgiri,500103,0,1
04-12-2025,Telangana,Jangoan,506317,2,0
04-12-2025,Telangana,Jayashankar Bhupalpally,501141,1,1
04-12-2025,Telangana,Jayashankar Bhupalpally,506348,1,0
04-12-2025,Telangana,K.v. Rangareddy,500112,1,0
04-12-2025,Telangana,Kamareddy,503301,1,0
04-12-2025,Telangana,Mahabubabad,506310,0,1
04-12-2025,Telangana,Mahabubnagar,509351,3,2
04-12-2025,Telangana,Medak,502205,1,0
04-12-2025,Telangana,Sangareddy,502294,0,1
04-12-2025,Telangana,Vikarabad,509340,1,0
06-12-2025,Telangana,Khammam,507137,2,0
06-12-2025,Telangana,Suryapet,505325,1,0
06-12-2025,Telangana,Warangal,506013,0,1
09-12-2025,Telangana,Mahabubabad,507122,0,1
11-12-2025,Telangana,Karimnagar,505307,1,1
11-12-2025,Telangana,Khammam,507138,1,0
11-12-2025,Telangana,Khammam,507304,1,3
11-12-2025,Telangana,Nizamabad,505307,0,1
14-12-2025,Telangana,Adilabad,504218,1,0
14-12-2025,Telangana,Adilabad,504231,2,0
14-12-2025,Telangana,Adilabad,504302,1,0
14-12-2025,Telangana,Hanumakonda,506006,0,1
14-12-2025,Telangana,Hyderabad,500091,0,1
14-12-2025,Telangana,Jagitial,505331,1,0
14-12-2025,Telangana,Jagitial,505425,1,1
14-12-2025,Telangana,Jagitial,505529,0,1
14-12-2025,Telangana,Jayashankar Bhupalpally,505504,1,0
14-12-2025,Telangana,K.v. Rangareddy,500008,0,1
14-12-2025,Telangana,K.v. Rangareddy,500087,1,1
14-12-2025,Telangana,K.v. Rangareddy,509217,1,0
14-12-2025,Telangana,Karimnagar,505184,0,1
14-12-2025,Telangana,Karimnagar,505208,1,0
14-12-2025,Telangana,Khammam,507157,0,1
14-12-2025,Telangana,Khammam,507159,1,6
14-12-2025,Telangana,Khammam,507170,2,1
14-12-2025,Telangana,Mahabubnagar,509104,0,1
14-12-2025,Telangana,Mahabubnagar,509128,3,0
14-12-2025,Telangana,Mahabubnagar,509135,1,0
14-12-2025,Telangana,Mahabubnagar,509208,2,1
14-12-2025,Telangana,Mahabubnagar,509352,1,0
14-12-2025,Telangana,Mancherial,504204,0,1
14-12-2025,Telangana,Medak,502110,1,3
14-12-2025,Telangana,Medak,502287,1,4
14-12-2025,Telangana,Medchal-malkajgiri,500101,0,1
14-12-2025,Telangana,Medchal−malkajgiri,500056,1,0
14-12-2025,Telangana,Medchal−malkajgiri,501401,1,0
14-12-2025,Telangana,Nalgonda,508238,1,0
14-12-2025,Telangana,Nalgonda,508252,2,0
14-12-2025,Telangana,Nalgonda,508278,2,1
14-12-2025,Telangana,Nizamabad,503187,1,1
14-12-2025,Telangana,Nizamabad,503306,0,1
14-12-2025,Telangana,Peddapalli,505184,1,0
14-12-2025,Telangana,Siddipet,502280,0,2
14-12-2025,Telangana,Suryapet,505325,1,0
14-12-2025,Telangana,Warangal,506172,1,0
14-12-2025,Telangana,Warangal,506244,1,2
14-12-2025,Telangana,Warangal,506310,2,0
14-12-2025,Telangana,Warangal,506313,0,1
14-12-2025,Telangana,Warangal Rural,506332,1,1
14-12-2025,Telangana,Warangal Urban,506142,1,0
07-12-2025,Telangana,Adilabad,504102,1,1
07-12-2025,Telangana,Adilabad,504103,6,1
07-12-2025,Telangana,Adilabad,504296,1,2
07-12-2025,Telangana,Adilabad,504323,0,2
07-12-2025,Telangana,Bhadradri Kothagudem,507124,2,1
07-12-2025,Telangana,Hanumakonda,506142,0,2
07-12-2025,Telangana,Hanumakonda,506164,1,0
07-12-2025,Telangana,Hanumakonda,506349,0,1
07-12-2025,Telangana,Jagitial,505526,0,7
07-12-2025,Telangana,Jagitial,505532,2,1
07-12-2025,Telangana,Jangoan,506367,0,1
07-12-2025,Telangana,K.v. Rangareddy,500067,2,0
07-12-2025,Telangana,K.v. Rangareddy,501121,0,1
07-12-2025,Telangana,K.v. Rangareddy,501503,3,2
07-12-2025,Telangana,K.v. Rangareddy,501512,5,0
07-12-2025,Telangana,Karimnagar,505302,0,3
07-12-2025,Telangana,Karimnagar,505303,0,2
07-12-2025,Telangana,Karimnagar,505453,2,0
07-12-2025,Telangana,Karimnagar,505470,1,0
07-12-2025,Telangana,Karimnagar,505480,1,0
07-12-2025,Telangana,Khammam,507158,1,0
07-12-2025,Telangana,Khammam,507304,0,1
07-12-2025,Telangana,Mahabubabad,506104,1,0
07-12-2025,Telangana,Mahabubabad,507210,0,1
07-12-2025,Telangana,Mahabubnagar,509103,3,1
07-12-2025,Telangana,Mahabubnagar,509126,3,1
07-12-2025,Telangana,Mahabubnagar,509334,5,0
07-12-2025,Telangana,Mahabubnagar,509338,2,1
07-12-2025,Telangana,Mahabubnagar,509357,0,1
07-12-2025,Telangana,Mahabubnagar,509360,2,0
07-12-2025,Telangana,Mancherial,504214,0,1
07-12-2025,Telangana,Medak,502001,0,3
07-12-2025,Telangana,Medak,502257,1,4
07-12-2025,Telangana,Medak,502280,1,1
07-12-2025,Telangana,Medak,502303,0,1
07-12-2025,Telangana,Medak,502371,2,0
07-12-2025,Telangana,Nalgonda,508111,2,0
07-12-2025,Telangana,Nalgonda,508201,1,0
07-12-2025,Telangana,Nalgonda,508204,6,1
07-12-2025,Telangana,Nalgonda,508233,1,0
07-12-2025,Telangana,Nalgonda,508256,1,1
07-12-2025,Telangana,Nalgonda,508376,1,0
07-12-2025,Telangana,Nizamabad,503123,1,0
07-12-2025,Telangana,Nizamabad,503188,1,0
07-12-2025,Telangana,Nizamabad,503212,4,3
07-12-2025,Telangana,Nizamabad,503246,1,0
07-12-2025,Telangana,Nizamabad,503310,1,0
07-12-2025,Telangana,Peddapalli,505184,1,4
07-12-2025,Telangana,Peddapalli,505514,0,1
07-12-2025,Telangana,Rajanna Sircilla,505301,3,13
07-12-2025,Telangana,Rajanna Sircilla,505404,2,9
07-12-2025,Telangana,Rajanna Sircilla,505405,2,2
07-12-2025,Telangana,Sangareddy,502257,1,1
07-12-2025,Telangana,Sangareddy,502269,1,1
07-12-2025,Telangana,Siddipet,502114,1,1
07-12-2025,Telangana,Siddipet,502277,0,1
07-12-2025,Telangana,Siddipet,505481,0,1
07-12-2025,Telangana,Suryapet,508224,0,1
07-12-2025,Telangana,Warangal,506003,1,0
07-12-2025,Telangana,Warangal,506315,3,0
07-12-2025,Telangana,Warangal,506332,0,1
13-12-2025,Telangana,Hanumakonda,505102,0,6
13-12-2025,Telangana,Kamareddy,503310,2,1
13-12-2025,Telangana,Khammam,507116,2,0
13-12-2025,Telangana,Mulugu,506345,1,0
13-12-2025,Telangana,Sangareddy,502371,1,0
13-12-2025,Telangana,Siddipet,502277,0,3
13-12-2025,Telangana,Siddipet,502301,1,0
13-12-2025,Telangana,Warangal,506318,1,0
12-12-2025,Telangana,Vikarabad,502345,1,0
12-12-2025,Telangana,Warangal Urban,506007,0,1
16-12-2025,Telangana,Hyderabad,500014,1,0
16-12-2025,Telangana,Siddipet,505472,1,0
01-01-2026,Telangana,Adilabad,504203,2,3
01-01-2026,Telangana,Adilabad,504207,6,1
01-01-2026,Telangana,Adilabad,504209,4,0
01-01-2026,Telangana,Adilabad,504216,2,3
01-01-2026,Telangana,Adilabad,504251,21,4
01-01-2026,Telangana,Adilabad,504292,8,2
