date,state,district,pincode,demo_age_5_17,demo_age_17_
16-10-2025,Telangana,Adilabad,504102,0,1
16-10-2025,Telangana,Adilabad,504106,0,7
16-10-2025,Telangana,Adilabad,504214,2,1
16-10-2025,Telangana,Adilabad,504216,1,7
16-10-2025,Telangana,Adilabad,504251,1,4
16-10-2025,Telangana,Adilabad,504272,1,0
16-10-2025,Telangana,Adilabad,504273,1,4
16-10-2025,Telangana,Adilabad,504292,1,3
16-10-2025,Telangana,Adilabad,504299,5,20
16-10-2025,Telangana,Adilabad,504302,0,1
16-10-2025,Telangana,Adilabad,504308,0,13
16-10-2025,Telangana,Adilabad,504309,2,19
16-10-2025,Telangana,Adilabad,504312,2,12
16-10-2025,Telangana,Adilabad,504346,0,17
16-10-2025,Telangana,Bhadradri Kothagudem,507115,7,21
16-10-2025,Telangana,Bhadradri Kothagudem,507129,0,2
16-10-2025,Telangana,Bhadradri Kothagudem,507133,4,9
16-10-2025,Telangana,Bhadradri Kothagudem,507154,1,1
16-10-2025,Telangana,Bhadradri Kothagudem,507316,1,5
16-10-2025,Telangana,Hanumakonda,505471,1,0
16-10-2025,Telangana,Hanumakonda,506310,1,11
16-10-2025,Telangana,Hanumakonda,506313,1,2
16-10-2025,Telangana,Hanumakonda,506342,1,8
16-10-2025,Telangana,Hyderabad,500002,3,35
16-10-2025,Telangana,Hyderabad,500005,8,50
16-10-2025,Telangana,Hyderabad,500007,1,5
16-10-2025,Telangana,Hyderabad,500010,6,8
16-10-2025,Telangana,Hyderabad,500013,8,39
16-10-2025,Telangana,Hyderabad,500023,3,39
16-10-2025,Telangana,Hyderabad,500025,0,7
16-10-2025,Telangana,Hyderabad,500040,4,7
16-10-2025,Telangana,Hyderabad,500042,1,4
16-10-2025,Telangana,Hyderabad,500058,4,12
16-10-2025,Telangana,Hyderabad,500062,1,4
16-10-2025,Telangana,Jagitial,505326,5,9
16-10-2025,Telangana,Jagitial,505416,0,1
16-10-2025,Telangana,Jagitial,505455,0,4
16-10-2025,Telangana,Jagitial,505462,1,5
16-10-2025,Telangana,Jagitial,505501,0,4
16-10-2025,Telangana,Jagitial,505532,1,20
16-10-2025,Telangana,Jangaon,506222,0,4
16-10-2025,Telangana,Jangaon,506317,0,1
16-10-2025,Telangana,Jayashankar Bhupalpally,506348,3,21
16-10-2025,Telangana,Jogulamba Gadwal,509128,11,22
16-10-2025,Telangana,Jogulamba Gadwal,509133,0,1
16-10-2025,Telangana,K.v. Rangareddy,500005,6,35
16-10-2025,Telangana,K.v. Rangareddy,500032,3,20
16-10-2025,Telangana,K.v. Rangareddy,500046,1,7
16-10-2025,Telangana,K.v. Rangareddy,500047,6,29
16-10-2025,Telangana,K.v. Rangareddy,500050,5,16
16-10-2025,Telangana,K.v. Rangareddy,500052,2,35
16-10-2025,Telangana,K.v. Rangareddy,500058,3,14
16-10-2025,Telangana,K.v. Rangareddy,500060,1,15
16-10-2025,Telangana,K.v. Rangareddy,500070,6,29
16-10-2025,Telangana,K.v. Rangareddy,500074,5,20
16-10-2025,Telangana,K.v. Rangareddy,500087,5,2
16-10-2025,Telangana,K.v. Rangareddy,500089,0,32
16-10-2025,Telangana,K.v. Rangareddy,500091,4,11
16-10-2025,Telangana,K.v. Rangareddy,500112,0,1
16-10-2025,Telangana,K.v. Rangareddy,501101,5,27
16-10-2025,Telangana,K.v. Rangareddy,501111,1,3
16-10-2025,Telangana,K.v. Rangareddy,501121,3,12
16-10-2025,Telangana,K.v. Rangareddy,501141,2,18
16-10-2025,Telangana,K.v. Rangareddy,501143,2,20
16-10-2025,Telangana,K.v. Rangareddy,501218,4,19
16-10-2025,Telangana,K.v. Rangareddy,501508,5,6
16-10-2025,Telangana,K.v. Rangareddy,509339,1,3
16-10-2025,Telangana,K.v. Rangareddy,509340,0,5
16-10-2025,Telangana,K.v. Rangareddy,509408,3,22
16-10-2025,Telangana,Kamareddy,503101,0,5
16-10-2025,Telangana,Kamareddy,503102,1,9
16-10-2025,Telangana,Kamareddy,503111,4,23
16-10-2025,Telangana,Kamareddy,503114,0,4
16-10-2025,Telangana,Kamareddy,503306,0,2
16-10-2025,Telangana,Kamareddy,503309,1,3
16-10-2025,Telangana,Karimnagar,505152,0,4
16-10-2025,Telangana,Karimnagar,505174,0,4
16-10-2025,Telangana,Karimnagar,505188,1,1
16-10-2025,Telangana,Karimnagar,505210,0,1
16-10-2025,Telangana,Karimnagar,505404,0,7
16-10-2025,Telangana,Karimnagar,505405,0,6
16-10-2025,Telangana,Karimnagar,505460,2,11
16-10-2025,Telangana,Karimnagar,505466,2,7
16-10-2025,Telangana,Karimnagar,505469,2,25
16-10-2025,Telangana,Karimnagar,505475,0,10
16-10-2025,Telangana,Karimnagar,505503,3,24
16-10-2025,Telangana,Karimnagar,505524,1,3
16-10-2025,Telangana,Karimnagar,505530,2,14
16-10-2025,Telangana,Khammam,507111,0,2
16-10-2025,Telangana,Khammam,507182,5,9
16-10-2025,Telangana,Khammam,507210,4,1
16-10-2025,Telangana,Khammam,507305,5,7
16-10-2025,Telangana,Khammam,507316,2,2
16-10-2025,Telangana,Komaram Bheem,504295,10,20
16-10-2025,Telangana,Komaram Bheem,504313,4,32
16-10-2025,Telangana,Mahabubabad,506101,1,16
16-10-2025,Telangana,Mahabubabad,506112,3,29
16-10-2025,Telangana,Mahabubabad,506134,2,10
16-10-2025,Telangana,Mahabubabad,506318,0,2
16-10-2025,Telangana,Mahabubabad,506324,2,27
16-10-2025,Telangana,Mahabubabad,506332,0,2
16-10-2025,Telangana,Mahabubabad,507210,1,7
16-10-2025,Telangana,Mahabubnagar,509110,9,7
16-10-2025,Telangana,Mahabubnagar,509120,4,1
16-10-2025,Telangana,Mahabubnagar,509125,12,18
16-10-2025,Telangana,Mahabubnagar,509126,3,3
16-10-2025,Telangana,Mahabubnagar,509127,6,7
16-10-2025,Telangana,Mahabubnagar,509208,5,7
16-10-2025,Telangana,Mahabubnagar,509209,5,11
16-10-2025,Telangana,Mahabubnagar,509311,3,11
16-10-2025,Telangana,Mahabubnagar,509320,3,6
16-10-2025,Telangana,Mahabubnagar,509321,6,3
16-10-2025,Telangana,Mahabubnagar,509324,6,9
